step,herd prey,solo prey
1478,123,102
1479,123,102
1480,123,102
1481,123,102
1482,123,102
1483,123,102
1484,123,102
1485,123,102
1486,123,102
1487,123,102
1488,123,102
1489,123,102
1490,123,102
1491,123,102
1492,123,102
1493,123,102
1494,123,102
1495,123,102
1496,123,102
1497,123,102
1498,123,102
1499,123,102
1500,123,102
1501,123,102
1502,123,102
1503,123,102
1504,123,102
1505,123,102
1506,123,102
1507,123,102
1508,123,102
1509,123,102
1510,123,102
1511,123,102
1512,123,102
1513,123,102
1514,123,102
1515,123,102
1516,123,102
1517,123,102
1518,123,102
1519,123,102
1520,123,102
1521,123,102
1522,123,102
1523,123,102
1524,123,102
1525,123,102
1526,123,102
1527,123,102
1528,123,102
1529,123,102
1530,123,102
1531,123,102
1532,123,102
1533,123,102
1534,123,102
1535,123,102
1536,123,102
1537,123,102
1538,122,102
1539,122,102
1540,122,102
1541,122,102
1542,122,102
1543,122,102
1544,122,102
1545,122,102
1546,122,102
1547,122,102
1548,122,102
1549,122,102
1550,122,102
1551,122,102
1552,122,102
1553,122,102
1554,122,102
1555,122,102
1556,122,101
1557,122,101
1558,122,101
1559,122,101
1560,122,101
1561,122,101
1562,122,101
1563,122,101
1564,122,101
1565,122,101
1566,122,101
1567,122,101
1568,122,101
1569,122,101
1570,122,101
1571,122,101
1572,122,101
1573,122,101
1574,122,101
1575,122,101
1576,122,101
1577,122,101
1578,122,101
1579,122,101
1580,122,101
1581,122,101
1582,122,101
1583,122,101
1584,122,101
1585,122,101
1586,122,101
1587,122,101
1588,122,101
1589,122,101
1590,122,101
1591,122,100
1592,122,100
1593,122,100
1594,122,100
1595,122,100
1596,122,100
1597,122,100
1598,122,100
1599,122,100
1600,122,100
1601,122,100
1602,122,100
1603,122,100
1604,122,100
1605,122,100
1606,122,100
1607,122,100
1608,122,100
1609,122,100
1610,122,100
1611,122,100
1612,122,100
1613,122,100
1614,122,100
1615,122,100
1616,122,100
1617,122,100
1618,122,100
1619,122,100
1620,122,100
1621,122,100
1622,122,100
1623,122,100
1624,122,100
1625,122,100
1626,122,100
1627,122,100
1628,122,100
1629,122,100
1630,122,100
1631,122,100
1632,122,100
1633,122,99
1634,122,99
1635,122,99
1636,121,99
1637,121,99
1638,121,99
1639,121,99
1640,121,99
1641,121,99
1642,121,99
1643,121,99
1644,121,99
1645,121,99
1646,121,99
1647,121,99
1648,121,99
1649,121,99
1650,121,99
1651,121,99
1652,121,99
1653,121,99
1654,121,99
1655,121,99
1656,121,99
1657,121,99
1658,121,99
1659,121,99
1660,121,99
1661,121,99
1662,121,99
1663,121,99
1664,121,99
1665,121,99
1666,121,99
1667,121,99
1668,121,99
1669,121,99
1670,121,99
1671,121,99
1672,121,99
1673,121,98
1674,121,98
1675,121,98
1676,121,98
1677,121,98
1678,121,98
1679,121,98
1680,121,98
1681,121,98
1682,121,98
1683,121,98
1684,121,98
1685,121,98
1686,121,98
1687,121,98
1688,121,98
1689,121,98
1690,121,98
1691,121,97
1692,121,97
1693,121,97
1694,121,97
1695,121,97
1696,121,97
1697,120,97
1698,120,97
1699,120,97
1700,120,97
1701,120,97
1702,120,97
1703,120,97
1704,120,97
1705,120,97
1706,120,97
1707,120,97
1708,120,97
1709,120,97
1710,120,97
1711,120,97
1712,120,97
1713,120,97
1714,120,97
1715,120,97
1716,120,97
1717,120,97
1718,120,97
1719,120,97
1720,120,96
1721,120,96
1722,120,96
1723,120,96
1724,120,96
1725,120,96
1726,120,96
1727,120,96
1728,120,96
1729,120,96
1730,120,96
1731,120,96
1732,120,96
1733,120,96
1734,120,96
1735,120,96
1736,120,96
1737,120,96
1738,120,96
1739,120,96
1740,120,96
1741,120,96
1742,120,96
1743,120,96
1744,120,96
1745,120,96
1746,120,96
1747,120,96
1748,120,96
1749,120,96
1750,120,96
1751,120,96
1752,120,96
1753,120,96
1754,120,96
1755,120,96
1756,120,96
1757,120,96
1758,120,96
1759,120,96
1760,120,96
1761,120,96
1762,120,96
1763,120,96
1764,120,96
1765,120,96
1766,120,96
1767,120,96
1768,120,95
1769,120,95
1770,120,95
1771,120,95
1772,120,95
1773,120,95
1774,120,95
1775,120,95
1776,120,95
1777,120,95
1778,120,95
1779,120,95
1780,120,95
1781,120,95
1782,120,95
1783,120,95
1784,120,95
1785,120,95
1786,120,95
1787,120,95
1788,120,95
1789,120,95
1790,120,95
1791,120,95
1792,120,95
1793,120,95
1794,120,95
1795,120,95
1796,120,95
1797,120,94
1798,120,94
1799,120,94
1800,120,94
1801,120,94
1802,120,94
1803,120,94
1804,120,94
1805,120,94
1806,120,94
1807,120,94
1808,120,94
1809,120,94
1810,120,94
1811,120,94
1812,120,94
1813,120,94
1814,120,94
1815,120,94
1816,120,94
1817,120,94
1818,120,94
1819,120,94
1820,120,94
1821,120,94
1822,120,94
1823,120,94
1824,120,94
1825,120,94
1826,119,94
1827,119,94
1828,119,94
1829,119,94
1830,119,94
1831,119,94
1832,119,94
1833,119,94
1834,119,94
1835,119,94
1836,119,94
1837,119,94
1838,119,94
1839,119,94
1840,119,94
1841,119,94
1842,119,94
1843,119,94
1844,119,94
1845,119,94
1846,119,94
1847,119,94
1848,119,94
1849,118,94
1850,118,94
1851,118,94
1852,118,94
1853,118,94
1854,118,94
1855,118,94
1856,118,94
1857,118,94
1858,118,94
1859,118,94
1860,118,94
1861,118,94
1862,118,94
1863,118,94
1864,118,94
1865,118,94
1866,118,94
1867,118,94
1868,118,94
1869,118,94
1870,118,94
1871,118,94
1872,118,94
1873,118,94
1874,118,94
1875,118,94
1876,118,94
1877,118,94
1878,118,94
1879,118,94
1880,118,94
1881,118,94
1882,118,94
1883,118,94
1884,118,94
1885,118,94
1886,118,94
1887,118,94
1888,118,94
1889,118,94
1890,118,94
1891,118,94
1892,118,94
